epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.377,0.85251,2.21877,1.22884,0.57406,0.68717,0.68752,0.51233,0.8501,1.96074,1.25963,0.00041351,0.00041351,0.00041351
2,882.503,0.92969,1.57016,1.24936,0.7331,0.76701,0.79492,0.56269,1.03217,2.24739,1.49177,0.000789083,0.000789083,0.000789083
3,1324.55,0.97847,1.49753,1.28468,0.62114,0.73305,0.74579,0.53185,0.95291,2.03361,1.33448,0.00112341,0.00112341,0.00112341
4,1758.94,0.98388,1.40345,1.29775,0.7081,0.73974,0.76619,0.53639,0.99678,1.57197,1.39312,0.00106437,0.00106437,0.00106437
5,2172.75,0.95144,1.30276,1.27079,0.80331,0.75894,0.84527,0.62695,0.95469,1.42853,1.37521,0.0010025,0.0010025,0.0010025
6,2638.89,0.91275,1.22931,1.22467,0.83544,0.79314,0.87456,0.66324,0.88318,1.17021,1.28296,0.000940625,0.000940625,0.000940625
7,3387.47,0.89152,1.15359,1.23275,0.89796,0.80498,0.89382,0.64795,0.93891,1.05157,1.34895,0.00087875,0.00087875,0.00087875
8,3961.12,0.85592,1.0422,1.21021,0.8681,0.79207,0.88474,0.67547,0.8898,1.06318,1.36905,0.000816875,0.000816875,0.000816875
9,4424.54,0.84666,1.00306,1.20168,0.85864,0.76193,0.85803,0.66098,0.8445,1.32253,1.26483,0.000755,0.000755,0.000755
10,5781.87,0.83417,0.9651,1.20071,0.82778,0.85076,0.90924,0.70968,0.88654,0.97144,1.28601,0.000693125,0.000693125,0.000693125
11,6300.69,0.74842,0.90851,1.14885,0.93647,0.82786,0.91961,0.71944,0.86975,0.84969,1.26087,0.00063125,0.00063125,0.00063125
12,6895.97,0.72521,0.80918,1.13085,0.86677,0.81289,0.9001,0.69746,0.82594,1.16402,1.26557,0.000569375,0.000569375,0.000569375
13,7382.45,0.69664,0.76129,1.11517,0.91118,0.8325,0.90623,0.69802,0.87715,0.8716,1.31411,0.0005075,0.0005075,0.0005075
14,7899.33,0.67191,0.70841,1.10091,0.93173,0.83479,0.91285,0.72375,0.84328,0.76661,1.27783,0.000445625,0.000445625,0.000445625
15,8376.67,0.63797,0.67489,1.0683,0.91847,0.81486,0.91269,0.73869,0.78632,0.81372,1.24069,0.00038375,0.00038375,0.00038375
16,8864.82,0.62751,0.64259,1.06487,0.88528,0.85562,0.91507,0.72809,0.86486,0.77619,1.31293,0.000321875,0.000321875,0.000321875
17,9380.62,0.60707,0.59883,1.04571,0.92234,0.85579,0.92967,0.74419,0.75254,0.69528,1.17088,0.00026,0.00026,0.00026
18,9897.81,0.58071,0.55784,1.02067,0.95262,0.87226,0.93962,0.76226,0.80431,0.62596,1.22828,0.000198125,0.000198125,0.000198125
19,10440.9,0.56077,0.53311,1.01103,0.9358,0.86252,0.94008,0.75721,0.81238,0.65668,1.27282,0.00013625,0.00013625,0.00013625
20,10924.9,0.53915,0.49726,0.99496,0.90054,0.88867,0.93472,0.76621,0.77862,0.66019,1.2348,7.4375e-05,7.4375e-05,7.4375e-05
